dtReference,idVendedor,qtdPedidos,qtdDias,qtdItens,qtdRecencia,avgTicket,avgValorProduto,maxValorProduto,minValorProduto,avgProdutoPedido,maxVlPedido,minVlPedido,LTV,qtdDiasBase,avgIntervaloVendas
2018-01-01,762ed976527cddf02787edba70fffa2a,3,3,4,19.53087962977588,59.93333333333334,44.95,50.0,39.9,1,100.0,39.9,179.8,901,5.301199845814456
2018-01-01,76623fde66e6b63b59440fd34160512d,2,2,2,6.194085648283362,17.95,17.95,29.9,6.0,1,29.9,6.0,35.9,901,113.49775462970138
2018-01-01,76833248bbc0e65a0293ec62023e4396,2,2,2,44.56744212983176,1199.99,1199.99,1699.99,699.99,1,1699.99,699.99,2399.98,901,41.56760416645557
2018-01-01,768de2a4fc06aacecb9a586ccc30746a,6,6,6,31.53939814819023,32.9,32.9,32.9,32.9,1,32.9,32.9,197.4,901,22.191039351932705
2018-01-01,76c47a299e4a8fe992316a85865acbe9,1,1,3,42.264606481418014,598.5,199.5,199.5,199.5,3,598.5,598.5,684.46,901,-0.7353935185819864
2018-01-01,76d5af76d0271110f9af36c92573f765,44,36,55,2.4506250000558794,243.78227272727273,195.02581818181818,929.0,12.1,1,1017.0,12.1,24699.510000000002,901,2.7565925480493414
2018-01-01,76d64c4aca3a7baf218bf93ef7fa768d,25,21,25,3.5681828702799976,271.2439999999999,271.2439999999999,745.0,27.9,1,745.0,27.9,7410.899999999997,901,3.5948331404360943
2018-01-01,76de363de16dacc923eec8daf91df504,1,1,1,100.54293981473893,110.0,110.0,110.0,110.0,1,110.0,110.0,110.0,901,
2018-01-01,7722b1df1b0e383e000397b2c11e3e19,43,37,43,1.445636574178934,44.447441860465155,44.447441860465155,89.9,13.99,1,89.9,13.99,4721.919999999998,901,3.673760747359622
2018-01-01,77530e9772f57a62c906e1c21538ab82,100,71,126,5.948182870168239,154.98499999999996,123.00396825396822,299.0,49.0,1,1093.0,49.0,20717.000000000007,901,0.9040555762102096
2018-01-01,7813ea3ebd9411dc600b4dd01f7a97b9,7,6,7,36.60589120350778,155.9857142857143,155.9857142857143,260.0,113.4,1,260.0,113.4,1091.9,901,18.325007715960965
2018-01-01,781a66c0d89e30814d49fe8b5e14cd07,1,1,1,46.471423611044884,115.0,115.0,115.0,115.0,1,115.0,115.0,115.0,901,
2018-01-01,782f78b632a43875dd5b53e3e49c9564,1,1,1,148.32553240749985,48.67,48.67,48.67,48.67,1,48.67,48.67,146.01,901,
2018-01-01,784ba75dd9d20200c4caed3d7a77141a,13,13,16,10.362164351623505,331.5053846153845,269.3481249999999,2649.99,9.99,1,2649.99,9.99,8235.229999999996,901,11.362869543688637
2018-01-01,78744a20ee2f80ba64f6804c25def2b8,3,3,3,34.35211805533618,532.3333333333334,532.3333333333334,599.0,499.0,1,599.0,499.0,1597.0,901,38.25862847222015
2018-01-01,78a4d36f65a019172c6154468831a69f,7,6,7,23.322615740820765,220.7857142857143,220.7857142857143,229.9,209.9,1,229.9,209.9,1545.5000000000002,901,7.601114969157304
2018-01-01,78c99c6dff4eeae5be99bf635ed21e3f,16,15,19,135.52662037033588,64.90499999999999,54.656842105263145,99.9,5.99,1,129.8,11.98,2030.880000000001,901,1.3608707788345569
2018-01-01,78ef7e885d17f35e2382a47aae8b8cce,1,1,1,156.57932870369405,199.0,199.0,199.0,199.0,1,199.0,199.0,388.0,901,
2018-01-01,7901646fdd36a55f564ffaf2dbccaaf7,5,4,7,94.54053240735084,854.6780000000001,610.4842857142858,794.98,465.52,1,1589.96,465.52,8900.080000000002,901,11.293663194480663
2018-01-01,791cfcfe22fe4a771ece27f90017da92,1,1,1,97.5336342593655,298.13,298.13,298.13,298.13,1,298.13,298.13,596.26,901,
2018-01-01,7957cac1a02f45d0a4a7e45626382ec2,1,1,1,114.57658564811572,343.0,343.0,343.0,343.0,1,343.0,343.0,343.0,901,
2018-01-01,7963e546f34e098b578f9ad102494601,1,1,1,56.236527777742594,60.99,60.99,60.99,60.99,1,60.99,60.99,60.99,901,
2018-01-01,7994081388d55b9cf976c050653dd359,1,1,5,51.41399305546656,900.0,180.0,180.0,180.0,5,900.0,900.0,1020.0,901,-0.5860069445334375
2018-01-01,79b93a308a97792cf53ac75f46da00b5,1,1,1,161.57846064819023,99.9,99.9,99.9,99.9,1,99.9,99.9,99.9,901,
2018-01-01,79ebd9a61bac3eaf882805ed4ecfa12a,28,22,32,2.554722222033888,60.67464285714288,53.09031250000002,139.9,9.99,1,139.9,11.9,1698.8900000000006,901,2.1741830299865326
2018-01-01,79ed755314cfe6df0daef2c6cd3022cd,17,16,18,49.29506944445893,168.12941176470594,158.78888888888892,249.9,119.9,1,359.8,119.9,3507.800000000001,901,7.091036900932736
2018-01-01,7a188843479798ca813108fa7b959286,1,1,3,41.51010416680947,149.7,49.9,49.9,49.9,3,149.7,149.7,149.7,901,-0.48989583319053054
2018-01-01,7a241947449cc45dbfda4f9d0798d9d0,15,15,15,26.26391203701496,112.13333333333334,112.13333333333334,180.0,9.0,1,180.0,9.0,3632.629999999999,901,9.87134093914314
2018-01-01,7a2d2949aea47fab95fd98d6c9f618b1,3,3,3,18.607442129403353,110.0,110.0,110.0,110.0,1,110.0,110.0,902.0,901,38.05894097243436
2018-01-01,7a425d299613df3e613bcf9d2eaf5c49,4,4,4,18.573067129589617,70.175,70.175,145.0,25.9,1,145.0,25.9,280.7,901,10.510609567941477
2018-01-01,7a67c85e85bb2ce8582c35f2203ad736,431,161,433,1.4279166664928198,124.23125290023167,123.65743648960704,249.99,9.99,1,459.98,9.99,97311.03000000102,901,-0.22651569229160803
