dtReference,idVendedor,qtde_boleto,qtde_credit_card,qtde_debit_card,qtde_voucher,valor_boleto,valor_credit_card,valor_debit_card,valor_voucher,proporcao_qtde_boleto,proporcao_qtde_credit_card,proporcao_qtde_debit_card,proporcao_qtde_voucher,proporcao_valor_boleto,proporcao_valor_credit_card,proporcao_valor_debit_card,proporcao_valor_voucher,avgQtdParcelas,MaxQtdParcelas,MinQtdParcelas
2018-01-01,0c7533c71df861ec58ad7ff999ed0e8d,7,21,0,3,442.2,1152.9499999999998,0.0,270.4,0,0,0,0,0.23703465465948384,0.6180214950014741,0.0,0.1449438503390421,2.380952380952381,5.0,1.0
2018-01-01,0c8380b62e38e8a1e6adbeba7eb9688c,7,26,0,2,1022.3100000000001,4033.19,0.0,127.57,0,0,0,0,0.1972402456459203,0.7781469283648494,0.0,0.02461282598923032,5.269230769230769,10.0,1.0
2018-01-01,0cbcee27c791afa0cdcb08587a2013a8,1,8,0,0,113.42,1245.93,0.0,0.0,0,0,0,0,0.08343693677125096,0.916563063228749,0.0,0.0,3.625,6.0,1.0
2018-01-01,0d33a55da925bbf1ff02af5f6059fc7f,1,2,0,0,26.0,39.24,0.0,0.0,0,0,0,0,0.3985285101164929,0.601471489883507,0.0,0.0,1.0,1.0,1.0
2018-01-01,0d4c8269e7f0401201794deef160edd6,0,3,0,0,0.0,892.03,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,7.333333333333333,10.0,4.0
2018-01-01,0d83f8e03188682112cc0d93523705cc,1,1,0,0,208.72,87.05,0.0,0.0,0,0,0,0,0.7056834702640565,0.29431652973594347,0.0,0.0,1.0,1.0,1.0
2018-01-01,0d85bbda9889ce1f7e63778d24f346eb,9,24,0,2,729.17,2547.2200000000007,0.0,101.49,0,0,0,0,0.2158661645765983,0.7540883631153269,0.0,0.03004547230807488,2.9583333333333335,10.0,1.0
2018-01-01,0db783cfcd3b73998abc6e10e59a102f,9,27,1,1,816.1999999999998,2191.32,59.17,50.0,0,0,0,0,0.26188039233930865,0.703092062412367,0.018984884605141993,0.01604266064318235,4.222222222222222,10.0,1.0
2018-01-01,0dd184061fb0eaa7ca37932c68ab91c5,1,1,0,0,119.34,108.26,0.0,0.0,0,0,0,0,0.5243409490333919,0.47565905096660804,0.0,0.0,5.0,5.0,5.0
2018-01-01,0df3984f9dfb3d49ac6366acbd3bbb85,3,17,0,1,618.97,2664.62,0.0,110.0,0,0,0,0,0.18239386608282085,0.7851920827206585,0.0,0.0324140511965205,4.0,10.0,1.0
