,Nome,Aparição
0,lott-klein,Biohazard Gun Survivor / Resident Evil Survivor
0,lucas-baker,Biohazard / Resident Evil 7
0,luis-sera,Biohazard / Resident Evil 4
0,lupo-karena-lesproux,Biohazard / Resident Evil: Operation Raccoon City
0,marguerite-baker,Biohazard / Resident Evil 7
0,marvin-branagh,Biohazard / Resident Evil 2
1,marvin-branagh,Biohazard / Resident Evil Outbreak File #2
2,marvin-branagh,Biohazard RE:2 / Resident Evil 2
0,mia-winters,Biohazard / Resident Evil 7
0,michael-warren,Biohazard 3: The Last Escape / Resident Evil 3: Nemesis
0,mikhail-victor,Biohazard 3: The Last Escape / Resident Evil 3: Nemesis
0,moira-burton,Biohazard / Resident Evil Revelations 2
0,morgan-lansdale,Biohazard / Resident Evil: Revelations
0,morpheus-d-duvall,Biohazard Gun Survivor 4: Heroes Never Die / Resident Evil Dead Aim
0,murphy-seeker,Biohazard 3: The Last Escape / Resident Evil 3: Nemesis
0,natalia-korda,Biohazard / Resident Evil Revelations 2
0,neil-fisher,Biohazard / Resident Evil Revelations 2
0,nicholai-ginovaef,Biohazard 3: The Last Escape / Resident Evil 3: Nemesis
1,nicholai-ginovaef,Biohazard / Resident Evil: Outbreak
2,nicholai-ginovaef,Biohazard / Resident Evil: Operation Raccoon City
0,osmund-saddler,Biohazard / Resident Evil 4
0,ozwell-e-spencer,Biohazard / Resident Evil Remake
1,ozwell-e-spencer,Biohazard / Resident Evil 0
2,ozwell-e-spencer,Biohazard / Resident Evil 5
0,parker-luciani,Biohazard / Resident Evil: Revelations
0,party-girl-sienna-fowler,Biohazard / Resident Evil: Operation Raccoon City
0,pedro-fernandez,Biohazard / Resident Evil Revelations 2
0,peter-walken,Biohazard / Resident Evil 7
0,piers-nivans,Biohazard / Resident Evil 6
1,piers-nivans,Biohazard The Stage
0,quint-ketcham,Biohazard / Resident Evil: Revelations
0,rachael-foley,Biohazard / Resident Evil: Revelations
0,ramon-salazar,Biohazard / Resident Evil 4
0,rani-chawla,Biohazard / Resident Evil: Degeneration
0,raymond-vester,Biohazard / Resident Evil: Revelations
0,rebecca-chambers,Biohazard / Resident Evil Clássico
1,rebecca-chambers,Biohazard / Resident Evil Remake
2,rebecca-chambers,Biohazard / Resident Evil 0
3,rebecca-chambers,Biohazard / Resident Evil: Deadly Silence
4,rebecca-chambers,Biohazard / Resident Evil 5
5,rebecca-chambers,Biohazard / Resident Evil: The Mercenaries 3D
6,rebecca-chambers,Biohazard The Stage
7,rebecca-chambers,Biohazard / Resident Evil Vendetta
0,reynard-fisher,Biohazard / Resident Evil 5
0,ricardo-irving,Biohazard / Resident Evil 5
0,richard-aiken,Biohazard / Resident Evil Clássico
1,richard-aiken,Biohazard / Resident Evil Remake
2,richard-aiken,Biohazard / Resident Evil 0
3,richard-aiken,Biohazard / Resident Evil: Deadly Silence
0,robert-kendo,Biohazard / Resident Evil 2
1,robert-kendo,Biohazard RE:2 / Resident Evil 2
0,rodrigo-juan-raval,Biohazard / Resident Evil CODE: Veronica
0,ron-davis-senador,Biohazard / Resident Evil: Degeneration
0,sherry-birkin,Biohazard / Resident Evil 2
1,sherry-birkin,Biohazard / Resident Evil: Operation Raccoon City
2,sherry-birkin,Biohazard / Resident Evil 6
0,sheva-alomar,Biohazard / Resident Evil 5
0,shona-lawrence-kimbala,Biohazard / Resident Evil: Operation Raccoon City
0,spectre-vladimir-bodrofski,Biohazard / Resident Evil: Operation Raccoon City
0,steve-burnside,Biohazard / Resident Evil CODE: Veronica
1,steve-burnside,Biohazard Gun Survivor 2 / Resident Evil Survivor 2
0,svetlana-belikova,Biohazard / Resident Evil: Damnation
0,tweed-marissa-ronson,Biohazard / Resident Evil: Operation Raccoon City
0,tyrell-patrick,Biohazard 3: The Last Escape / Resident Evil 3: Nemesis
0,vector,Biohazard / Resident Evil: Operation Raccoon City
0,veronica-ashford,Biohazard / Resident Evil CODE: Veronica
0,vincent-goldman,Biohazard Gun Survivor / Resident Evil Survivor
0,william-birkin,Biohazard / Resident Evil 0
1,william-birkin,Biohazard / Resident Evil 2
2,william-birkin,Biohazard / Resident Evil: Operation Raccoon City
3,william-birkin,Biohazard RE:2 / Resident Evil 2
0,willow-caroline-floyd,Biohazard / Resident Evil: Operation Raccoon City
0,yoko-suzuki,Biohazard / Resident Evil Outbreak
1,yoko-suzuki,Biohazard / Resident Evil Outbreak File #2
0,zoe-baker,Biohazard / Resident Evil 7
